行政區別行業別,項目,A農林漁牧業,B礦業及土石採取業,C製造業,D電力及燃氣供應業,E用水供應及污染整治業,F營造業,G批發及零售業,H運輸及倉儲業,I住宿及餐飲業,J資訊及通訊傳播業,K金融及保險業,L不動產業,M專業科學及技術服務業,N支援服務業,O公共行政及國防；強制性社會安全,P教育服務業,Q醫療保健及社會服務業,R藝術娛樂及休閒服務業,S其他服務業,各行政區合計家數及資本額
桃園市桃園區,家數,42,6,307,5,46,   1 270,   6 810,163,   1 940,91,74,90,353,418,-,43,-,323,   1 046,   13 027
,資本額,  24 840 997,  2 000 000,  126 357 849,  1 030 000,  11 498 888,  499 793 287, 1 391 978 278,  50 485 788,  262 840 239,  52 001 888,  388 178 000,  25 565 100,  84 330 887,  102 190 677,-,  4 890 000,-,  40 219 937,  128 262 486, 3 196 464 301
桃園市中壢區,家數,56,6,262,5,58,   1 235,   7 099,407,   2 098,103,52,95,349,417,-,31,-,365,   1 091,   13 729
,資本額,  17 901 000,  2 040 000,  199 418 768,  1 740 000,  12 909 000,  478 746 271, 1 190 514 925,  74 067 340,  317 823 656,  29 562 306,  55 808 888,  18 579 000,  74 617 997,  93 884 799,-,  3 910 000,-,  49 525 437,  134 169 501, 2 755 218 888
桃園市大溪區,家數,25,2,98,-,19,501,   1 561,48,306,16,2,5,59,95,-,3,-,48,149,   2 937
,資本額,  3 665 000,   250 000,  51 088 800,-,  4 711 000,  188 902 988,  266 478 953,  2 652 000,  42 777 800,  4 376 000,  3 000 000,   900 000,  12 003 000,  20 047 790,-,   480 000,-,  4 048 000,  16 352 000,  621 733 331
桃園市楊梅區,家數,60,2,121,1,21,614,   2 254,148,486,20,7,26,78,150,-,7,-,86,263,   4 344
,資本額,  17 218 000,   370 000,  65 119 000,   240 000,  6 402 000,  292 635 242,  418 705 180,  53 512 000,  64 556 776,  3 700 000,  6 310 000,  5 369 000,  15 492 888,  73 430 999,-,   617 688,-,  6 731 776,  33 634 900, 1 064 045 449
桃園市蘆竹區,家數,28,3,181,1,12,397,   1 815,72,607,16,11,54,70,115,-,7,-,107,262,   3 758
,資本額,  3 818 000,   640 000,  91 076 100,   100 000,  1 548 000,  146 244 243,  422 049 773,  28 715 000,  81 354 699,  2 710 000,  12 450 000,  36 902 000,  14 151 000,  36 222 888,-,   380 000,-,  12 420 800,  37 126 000,  927 908 503
桃園市大園區,家數,28,3,70,1,15,295,   1 209,76,274,11,5,28,32,63,-,4,-,58,146,   2 318
,資本額,  4 328 000,   648 000,  28 753 000,   200 000,  10 340 000,  129 172 000,  244 958 787,  17 388 000,  31 969 376,  1 670 000,  4 930 000,  4 220 000,  7 158 000,  47 241 000,-,   450 000,-,  6 330 000,  23 984 499,  563 740 662
桃園市龜山區,家數,10,1,157,-,21,498,   2 219,105,712,20,9,62,86,157,-,6,-,119,267,   4 449
,資本額,  5 580 000,   200 000,  43 794 889,-,  2 813 000,  220 903 600,  456 904 513,  4 685 000,  97 387 599,  3 420 000,  9 880 000,  11 505 000,  16 596 950,  38 757 000,-,   650 000,-,  11 396 500,  30 803 188,  955 277 239
桃園市八德區,家數,36,3,213,-,33,802,   2 770,155,557,16,16,14,102,170,-,8,-,94,339,   5 328
,資本額,  9 042 000,   600 000,  103 596 000,-,  10 328 000,  251 529 979,  533 150 514,  19 450 000,  88 438 488,  3 510 000,  19 600 000,  6 959 000,  23 891 200,  56 885 100,-,   950 000,-,  9 259 000,  34 228 888, 1 171 418 169
桃園市龍潭區,家數,30,4,87,1,21,466,   1 739,180,504,17,4,14,46,118,-,4,-,91,221,   3 547
,資本額,  10 475 000,  2 790 000,  52 566 888,   200 000,  20 315 000,  187 173 099,  407 422 886,  31 880 800,  64 895 300,  5 065 000,  5 500 000,  2 730 000,  7 586 000,  34 745 900,-,   780 000,-,  13 117 888,  20 666 600,  867 910 361
桃園市平鎮區,家數,38,4,147,5,30,890,   3 136,268,628,33,23,34,154,210,-,7,-,123,400,   6 130
,資本額,  7 139 000,  1 580 000,  84 441 888,  1 900 500,  6 887 000,  334 165 067,  631 290 353,  36 426 000,  87 421 999,  6 288 887,  27 900 000,  8 630 000,  39 199 000,  51 410 798,-,   781 000,-,  13 519 998,  44 567 600, 1 383 549 090
桃園市新屋區,家數,72,2,52,-,12,113,644,24,105,3,1,7,14,41,-,-,-,24,70,   1 184
,資本額,  14 370 000,   300 000,  41 463 000,-,  5 178 000,  36 089 900,  141 076 299,  1 555 000,  17 708 000,   170 000,  1 500 000,  1 250 000,  3 725 000,  7 204 999,-,-,-,  4 710 000,  6 861 000,  283 161 198
桃園市觀音區,家數,38,-,54,-,10,277,895,35,205,5,1,12,16,54,-,3,-,24,64,   1 693
,資本額,  28 450 000,-,  13 644 000,-,  1 883 000,  132 352 888,  176 361 500,  3 480 000,  25 050 988,   480 000,   200 000,  2 150 000,  7 530 000,  15 500 000,-,   300 000,-,  1 995 000,  9 326 000,  418 703 376
桃園市復興區,家數,6,-,1,-,1,18,155,1,43,1,-,1,5,8,-,-,-,20,8,268
,資本額,  2 160 000,-,   45 000,-,   200 000,  7 240 000,  11 076 000,   200 000,  3 503 800,   20 000,-,   8 000,   825 000,  1 193 000,-,-,-,  2 233 000,   312 800,  29 016 600
合計,家數,469,36,   1 750,19,299,   7 376,   32 308,   1 682,   8 465,352,205,442,   1 364,   2 016,-,123,-,   1 482,   4 326,   62 714
,資本額,  148 986 997,  11 418 000,  901 365 182,  5 410 500,  95 012 888, 2 904 948 564, 6 292 006 961,  324 496 928, 1 185 728 720,  112 974 081,  535 256 888,  124 767 100,  307 106 922,  578 714 950,-,  14 188 688,-,  175 507 336,  520 295 462, 14 238 186 167
